iter	Passed	Remaining
0	207	207607
1	210	104834
2	212	70459
3	213	53255
4	215	42933
5	217	36028
6	219	31142
7	221	27468
8	223	24652
9	226	22401
10	228	20528
11	230	18950
12	232	17622
13	234	16484
14	235	15493
15	238	14665
16	240	13920
17	242	13231
18	244	12620
19	246	12067
20	248	11567
21	250	11113
22	251	10698
23	254	10333
24	256	9985
25	257	9663
26	259	9343
27	260	9031
28	261	8742
29	262	8473
30	262	8220
31	263	7980
32	264	7754
33	265	7543
34	266	7349
35	267	7169
36	268	6997
37	269	6831
38	270	6671
39	271	6518
40	272	6371
41	273	6232
42	274	6102
43	275	5979
44	276	5858
45	276	5742
46	277	5631
47	278	5524
48	279	5421
49	280	5324
50	281	5238
51	282	5155
52	283	5070
53	284	4985
54	285	4904
55	286	4827
56	287	4753
57	288	4680
58	289	4609
59	289	4540
60	290	4473
61	291	4409
62	292	4346
63	293	4285
64	293	4227
65	294	4171
66	295	4120
67	296	4064
68	297	4013
69	298	3964
70	299	3916
71	300	3868
72	300	3821
73	302	3779
74	303	3737
75	303	3694
76	304	3652
77	305	3611
78	306	3571
79	307	3532
80	307	3493
81	308	3457
82	309	3422
83	311	3393
84	311	3357
85	312	3325
86	313	3290
87	314	3258
88	315	3226
89	316	3195
90	316	3165
91	317	3135
92	318	3106
93	319	3077
94	320	3049
95	320	3022
96	321	2995
97	322	2969
98	323	2944
99	324	2920
100	325	2900
101	326	2875
102	327	2851
103	328	2828
104	329	2805
105	329	2782
106	330	2760
107	331	2738
108	332	2716
109	333	2695
110	333	2674
111	334	2654
112	335	2633
113	336	2614
114	337	2594
115	337	2574
116	338	2556
117	339	2539
118	340	2521
119	341	2503
120	342	2485
121	343	2469
122	343	2449
123	344	2433
124	345	2416
125	346	2400
126	346	2384
127	347	2366
128	348	2351
129	349	2336
130	349	2321
131	350	2306
132	351	2291
133	352	2276
134	353	2262
135	354	2249
136	355	2238
137	356	2226
138	357	2215
139	358	2204
140	359	2193
141	360	2181
142	361	2169
143	363	2157
144	364	2146
145	364	2134
146	365	2121
147	366	2109
148	367	2098
149	368	2089
150	369	2080
151	370	2069
152	371	2058
153	372	2046
154	373	2036
155	374	2025
156	375	2015
157	376	2004
158	377	1994
159	377	1983
160	378	1973
161	379	1963
162	380	1953
163	381	1943
164	382	1933
165	383	1926
166	384	1917
167	385	1907
168	386	1898
169	386	1888
170	387	1879
171	388	1870
172	389	1861
173	390	1851
174	390	1842
175	391	1834
176	392	1825
177	393	1816
178	394	1808
179	395	1799
180	395	1789
181	396	1781
182	397	1773
183	398	1765
184	399	1759
185	400	1753
186	401	1745
187	402	1738
188	403	1730
189	403	1722
190	404	1714
191	405	1706
192	406	1699
193	407	1691
194	408	1684
195	408	1677
196	409	1669
197	410	1662
198	411	1655
199	412	1649
200	413	1644
201	414	1638
202	415	1632
203	416	1625
204	417	1618
205	418	1612
206	419	1605
207	419	1598
208	420	1592
209	421	1586
210	422	1580
211	423	1574
212	424	1567
213	425	1561
214	426	1555
215	427	1551
216	428	1546
217	429	1540
218	430	1534
219	431	1529
220	432	1524
221	433	1518
222	434	1512
223	435	1507
224	435	1501
225	436	1495
226	437	1490
227	438	1485
228	439	1480
229	440	1476
230	442	1472
231	443	1467
232	444	1461
233	444	1456
234	445	1451
235	446	1445
236	447	1440
237	448	1435
238	449	1429
239	449	1424
240	450	1419
241	451	1414
242	452	1408
243	453	1404
244	454	1399
245	455	1396
246	456	1393
247	457	1388
248	458	1383
249	459	1378
250	460	1373
251	461	1369
252	462	1364
253	462	1359
254	463	1354
255	464	1349
256	465	1345
257	466	1340
258	467	1336
259	468	1332
260	468	1327
261	470	1324
262	471	1320
263	472	1316
264	472	1311
265	473	1307
266	474	1303
267	475	1298
268	476	1294
269	477	1289
270	477	1285
271	478	1281
272	479	1276
273	480	1272
274	481	1268
275	482	1265
276	483	1261
277	484	1258
278	485	1255
279	486	1251
280	487	1247
281	488	1243
282	489	1239
283	489	1235
284	490	1231
285	491	1227
286	492	1223
287	493	1219
288	494	1215
289	494	1211
290	495	1207
291	496	1203
292	497	1200
293	498	1196
294	499	1193
295	500	1190
296	501	1186
297	502	1183
298	503	1179
299	503	1175
300	504	1172
301	505	1168
302	506	1164
303	507	1161
304	508	1157
305	508	1154
306	509	1150
307	510	1147
308	511	1143
309	512	1140
310	513	1137
311	514	1134
312	515	1131
313	516	1127
314	517	1124
315	518	1121
316	518	1117
317	519	1114
318	520	1111
319	521	1107
320	522	1104
321	523	1101
322	524	1098
323	524	1095
324	525	1091
325	526	1088
326	527	1085
327	528	1082
328	529	1080
329	530	1077
330	531	1074
331	532	1070
332	533	1067
333	533	1064
334	534	1061
335	535	1058
336	536	1055
337	537	1052
338	538	1049
339	539	1046
340	540	1043
341	540	1040
342	541	1037
343	543	1035
344	544	1033
345	545	1030
346	545	1027
347	546	1024
348	547	1021
349	548	1018
350	549	1015
351	550	1013
352	551	1010
353	551	1007
354	552	1004
355	553	1001
356	554	998
357	555	995
358	556	993
359	557	991
360	558	988
361	559	985
362	560	983
363	561	980
364	561	977
365	562	974
366	563	972
367	564	969
368	565	966
369	566	964
370	567	961
371	567	958
372	568	956
373	569	953
374	570	950
375	571	948
376	572	946
377	573	944
378	574	941
379	575	939
380	576	936
381	577	933
382	578	931
383	579	928
384	579	926
385	580	923
386	581	921
387	582	918
388	583	915
389	583	913
390	584	910
391	585	908
392	587	906
393	588	905
394	589	902
395	590	900
396	591	897
397	592	895
398	592	893
399	593	890
400	594	888
401	595	885
402	596	883
403	597	880
404	597	878
405	598	875
406	599	873
407	600	871
408	601	869
409	602	866
410	603	864
411	603	861
412	604	859
413	605	857
414	606	854
415	607	852
416	608	850
417	608	847
418	609	845
419	610	843
420	611	840
421	612	838
422	612	836
423	613	833
424	614	831
425	615	829
426	617	828
427	618	826
428	619	824
429	620	822
430	621	820
431	622	817
432	622	815
433	623	813
434	624	811
435	625	809
436	626	806
437	627	804
438	627	802
439	628	800
440	629	798
441	630	796
442	631	794
443	632	792
444	633	790
445	634	788
446	635	786
447	636	784
448	637	781
449	637	779
450	638	777
451	639	775
452	640	773
453	641	771
454	641	768
455	642	766
456	644	765
457	645	763
458	646	761
459	647	760
460	648	757
461	649	755
462	649	753
463	650	751
